2025-09-19 02:36:31 | INFO     | create_model_logger  | 🚀 Model logger created for deepseek/deepseek-r1-0528:theta
2025-09-19 02:46:50 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:49:31 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 161.38s
2025-09-19 02:49:34 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 164.17s
2025-09-19 02:49:38 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 167.75s
2025-09-19 02:49:38 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/5 predictions (3 missing)
2025-09-19 02:49:38 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 4/6)
2025-09-19 02:49:38 | WARNING  | evaluate_model       | 🔄 Retry attempt 3/5
2025-09-19 02:49:38 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_theta_20250919_023624.json
2025-09-19 02:49:38 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-19 02:49:38 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:49:38 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-19 02:49:38 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:51:59 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 141.53s
2025-09-19 02:52:05 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 147.29s
2025-09-19 02:52:09 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 151.34s
2025-09-19 02:52:09 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 3/5 predictions (2 missing)
2025-09-19 02:52:09 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 5/6)
2025-09-19 02:52:09 | WARNING  | evaluate_model       | 🔄 Retry attempt 4/5
2025-09-19 02:52:09 | INFO     | evaluate_model       | 📂 Loaded 3 existing predictions from hle_deepseek_deepseek-r1-0528_theta_20250919_023624.json
2025-09-19 02:52:09 | INFO     | evaluate_model       | 🔄 Evaluating 2 remaining questions
2025-09-19 02:52:09 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:52:09 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:57:11 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 301.74s
2025-09-19 02:57:12 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 303.25s
2025-09-19 02:57:12 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 3/5 predictions (2 missing)
2025-09-19 02:57:12 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 6/6)
2025-09-19 02:57:12 | WARNING  | evaluate_model       | 🔄 Retry attempt 5/5
2025-09-19 02:57:12 | INFO     | evaluate_model       | 📂 Loaded 3 existing predictions from hle_deepseek_deepseek-r1-0528_theta_20250919_023624.json
2025-09-19 02:57:12 | INFO     | evaluate_model       | 🔄 Evaluating 2 remaining questions
2025-09-19 02:57:12 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:57:12 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 03:01:05 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 233.03s
2025-09-19 03:01:17 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 245.14s
2025-09-19 03:01:17 | ERROR    | evaluate_model       | ❌ Evaluation incomplete after 5 retries
2025-09-19 03:01:17 | ERROR    | evaluate_model       | ❌ Final result: 3/5 predictions (2 missing)
2025-09-19 03:01:17 | INFO     | evaluate_model       | ✅ Completed evaluation
2025-09-19 03:01:17 | INFO     | evaluate_model       | 📝 Final predictions: 3
2025-09-19 03:01:17 | INFO     | evaluate_model       | 📁 Saved to: results/20250919_023624/predictions/hle_deepseek_deepseek-r1-0528_theta_20250919_023624.json
