2025-09-19 02:36:33 | INFO     | create_model_logger  | 🚀 Model logger created for deepseek/deepseek-r1-0528:volcengine
2025-09-19 02:43:53 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_volcengine_20250919_023624.json
2025-09-19 02:43:53 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-19 02:43:53 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-19 02:43:53 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:43:53 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:44:00 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 6.65s
2025-09-19 02:46:39 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 165.61s
2025-09-19 02:47:55 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 241.27s
2025-09-19 02:47:55 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/5 predictions (3 missing)
2025-09-19 02:47:55 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 4/6)
2025-09-19 02:47:55 | WARNING  | evaluate_model       | 🔄 Retry attempt 3/5
2025-09-19 02:47:55 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_volcengine_20250919_023624.json
2025-09-19 02:47:55 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-19 02:47:55 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-19 02:47:55 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:47:55 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:50:18 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 143.05s
2025-09-19 02:50:18 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 143.33s
2025-09-19 02:50:26 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 151.23s
2025-09-19 02:50:26 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/5 predictions (3 missing)
2025-09-19 02:50:26 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 5/6)
2025-09-19 02:50:26 | WARNING  | evaluate_model       | 🔄 Retry attempt 4/5
2025-09-19 02:50:26 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_volcengine_20250919_023624.json
2025-09-19 02:50:26 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-19 02:50:26 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-19 02:50:26 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:50:26 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:52:56 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 149.57s
2025-09-19 02:52:57 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 150.70s
2025-09-19 02:53:03 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 156.99s
2025-09-19 02:53:03 | WARNING  | evaluate_model       | ⚠️ Incomplete evaluation: 2/5 predictions (3 missing)
2025-09-19 02:53:03 | INFO     | evaluate_model       | 🔄 Will retry missing questions (attempt 6/6)
2025-09-19 02:53:03 | WARNING  | evaluate_model       | 🔄 Retry attempt 5/5
2025-09-19 02:53:03 | INFO     | evaluate_model       | 📂 Loaded 2 existing predictions from hle_deepseek_deepseek-r1-0528_volcengine_20250919_023624.json
2025-09-19 02:53:03 | INFO     | evaluate_model       | 🔄 Evaluating 3 remaining questions
2025-09-19 02:53:03 | DEBUG    | __enter__            | 🔄 Starting question 669402b41dcb3d5a1ef9e951
2025-09-19 02:53:03 | DEBUG    | __enter__            | 🔄 Starting question 66b2c7c9795022550abb176b
2025-09-19 02:53:03 | DEBUG    | __enter__            | 🔄 Starting question 6696c3734c196f1af6a16fcb
2025-09-19 02:57:10 | DEBUG    | __exit__             | ✅ Completed question 669402b41dcb3d5a1ef9e951 in 247.55s
2025-09-19 02:57:13 | DEBUG    | __exit__             | ✅ Completed question 6696c3734c196f1af6a16fcb in 250.41s
2025-09-19 02:57:20 | DEBUG    | __exit__             | ✅ Completed question 66b2c7c9795022550abb176b in 257.00s
2025-09-19 02:57:20 | ERROR    | evaluate_model       | ❌ Evaluation incomplete after 5 retries
2025-09-19 02:57:20 | ERROR    | evaluate_model       | ❌ Final result: 2/5 predictions (3 missing)
2025-09-19 02:57:20 | INFO     | evaluate_model       | ✅ Completed evaluation
2025-09-19 02:57:20 | INFO     | evaluate_model       | 📝 Final predictions: 2
2025-09-19 02:57:20 | INFO     | evaluate_model       | 📁 Saved to: results/20250919_023624/predictions/hle_deepseek_deepseek-r1-0528_volcengine_20250919_023624.json
